^SAMPLE = GSM171895
!Sample_title = HBEC3-KT
!Sample_geo_accession = GSM171895
!Sample_status = Public on Mar 07 2007
!Sample_submission_date = Feb 26 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Human Bronchial Epithelial Cell
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Histology: immortalized normal
!Sample_characteristics_ch1 = Age: 65
!Sample_characteristics_ch1 = Sex: F
!Sample_characteristics_ch1 = Race:
!Sample_biomaterial_provider_ch1 = Hamon Center for Therapeutic Oncology Research, UT Southwestern Medical Center
!Sample_growth_protocol_ch1 = KSFM supplemented with EGF and BPE
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy kit including DNase1 treatment
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA was prepared according to standard Affymetrix protocol from 5 microgram total RNA
!Sample_hyb_protocol = Following fragmentation, 20 microg of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A
!Sample_description = Immortalized with CDK4 and hTERT
!Sample_data_processing = Data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 250
!Sample_platform_id = GPL570
!Sample_contact_name = Luc,,Girard
!Sample_contact_email = Luc.Girard@UTSouthwestern.edu
!Sample_contact_laboratory = NB8.114A
!Sample_contact_department = Hamon Center for Therapeutic Oncology Research
!Sample_contact_institute = UT Southwestern Medical Center
!Sample_contact_address = 5323 Harry Hines Blvd
!Sample_contact_city = Dallas
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 75390-8593
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM171nnn/GSM171895/suppl/GSM171895.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE4824
!Sample_data_row_count = 54675
#ID_REF = Affymetrix IDs
#Stat Pairs = Number of probe pairs
#Stat Pairs Used = Number of probe pairs (unmasked)
#VALUE = MAS5-calculated Signal intensity
#ABS_CALL = the call in an absolute analysis that indicates if the transcript was present (P), absent (A), marginal (M), or no call (NC)
#DETECTION P-VALUE = p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	Stat Pairs	Stat Pairs Used	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	20	20	399.2	P	0.000446
AFFX-BioB-M_at	20	20	537.1	P	0.000052
AFFX-BioB-3_at	20	20	343.2	P	0.001248
AFFX-BioC-5_at	20	20	961.2	P	0.000060
AFFX-BioC-3_at	20	20	886.5	P	0.000044
AFFX-BioDn-5_at	20	20	1548.0	P	0.000052
AFFX-BioDn-3_at	20	20	5979.8	P	0.000081
AFFX-CreX-5_at	20	20	12578.5	P	0.000052
AFFX-CreX-3_at	20	20	14948.0	P	0.000044
AFFX-DapX-5_at	20	20	27.1	A	0.250796
AFFX-DapX-M_at	20	20	16.3	A	0.672921
AFFX-DapX-3_at	20	20	6.0	A	0.749204
AFFX-LysX-5_at	20	20	21.6	A	0.083574
AFFX-LysX-M_at	20	20	29.8	A	0.440646
AFFX-LysX-3_at	20	20	12.4	A	0.603080
AFFX-PheX-5_at	20	20	3.2	A	0.876428
AFFX-PheX-M_at	20	20	3.6	A	0.737173
AFFX-PheX-3_at	20	20	11.6	A	0.686277
AFFX-ThrX-5_at	20	20	5.8	A	0.772364
AFFX-ThrX-M_at	20	20	15.4	A	0.544587
AFFX-ThrX-3_at	20	20	5.8	A	0.868639
AFFX-TrpnX-5_at	20	20	23.5	A	0.227636
AFFX-TrpnX-M_at	20	20	8.2	A	0.588620
AFFX-TrpnX-3_at	20	20	6.5	A	0.425962
AFFX-r2-Ec-bioB-5_at	11	11	532.3	P	0.000244
AFFX-r2-Ec-bioB-M_at	11	11	643.3	P	0.000244
AFFX-r2-Ec-bioB-3_at	11	11	589.1	P	0.000244
AFFX-r2-Ec-bioC-5_at	11	11	1075.6	P	0.000244
AFFX-r2-Ec-bioC-3_at	11	11	1239.2	P	0.000244
AFFX-r2-Ec-bioD-5_at	11	11	5195.4	P	0.000244
AFFX-r2-Ec-bioD-3_at	11	11	7465.6	P	0.000244
AFFX-r2-P1-cre-5_at	11	11	16823.8	P	0.000244
AFFX-r2-P1-cre-3_at	11	11	19933.2	P	0.000244
AFFX-r2-Bs-dap-5_at	11	11	1.2	A	0.998779
AFFX-r2-Bs-dap-M_at	11	11	1.1	A	0.850342
AFFX-r2-Bs-dap-3_at	11	11	3.2	A	0.753906
AFFX-r2-Bs-lys-5_at	11	11	1.8	A	0.696289
AFFX-r2-Bs-lys-M_at	11	11	1.7	A	0.888428
AFFX-r2-Bs-lys-3_at	11	11	41.4	P	0.030273
AFFX-r2-Bs-phe-5_at	11	11	12.9	A	0.432373
AFFX-r2-Bs-phe-M_at	11	11	5.1	A	0.805420
AFFX-r2-Bs-phe-3_at	11	11	4.9	A	0.567627
