^SAMPLE = GSM1017503
!Sample_title = SKMEL28_17b
!Sample_geo_accession = GSM1017503
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SK-MEL-28
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = organ: Skin
!Sample_characteristics_ch1 = disease: malignant melanoma
!Sample_characteristics_ch1 = morphology: polygonal
!Sample_characteristics_ch1 = is_metastasis: no
!Sample_characteristics_ch1 = metastatic_site: n/a
!Sample_characteristics_ch1 = in_vivo_growth: yes
!Sample_characteristics_ch1 = cell line: SK-MEL-28
!Sample_characteristics_ch1 = atcc_number: HTB-72
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = SK-MEL-28, replicate 2
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017503/suppl/GSM1017503_mRNA_17b_121206.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	11233.74	6.62E-04
AFFX-BioB-M_at	15910.32	4.43E-05
AFFX-BioB-3_at	12027.49	5.17E-05
AFFX-BioC-5_at	40123.32	5.17E-05
AFFX-BioC-3_at	44965.40	4.43E-05
AFFX-BioDn-5_at	82677.83	4.43E-05
AFFX-BioDn-3_at	177585.34	7.01E-05
AFFX-CreX-5_at	491040.10	5.17E-05
AFFX-CreX-3_at	559286.00	4.43E-05
AFFX-DapX-5_at	24335.13	4.43E-05
AFFX-DapX-M_at	41853.39	3.90E-04
AFFX-DapX-3_at	47132.35	4.43E-05
AFFX-LysX-5_at	2779.46	1.95E-04
AFFX-LysX-M_at	2984.18	5.56E-03
AFFX-LysX-3_at	8946.12	8.14E-05
AFFX-PheX-5_at	3379.02	5.17E-05
AFFX-PheX-M_at	6254.15	1.10E-04
AFFX-PheX-3_at	3504.16	4.43E-05
AFFX-ThrX-5_at	4579.84	1.69E-04
AFFX-ThrX-M_at	6691.59	5.17E-05
AFFX-ThrX-3_at	10065.08	5.17E-05
AFFX-TrpnX-5_at	317.85	2.28E-01
AFFX-TrpnX-M_at	28.90	9.76E-01
AFFX-TrpnX-3_at	8.30	8.61E-01
AFFX-r2-Ec-bioB-5_at	19867.09	2.44E-04
